Brand,Store_Count,City_Cover,Average_Price
cocosakura椰子水,19,3,24
寻茶说,19,19,14
吃茶三千,19,4,30
柠作·柠檬茶,19,5,13
姜大力,19,2,21
曹曹到,19,2,
乐研茶,18,7,10
芳茗烧仙草,18,8,10
叶子与茶,18,11,19
Hi.TEA茶室,18,3,21
慕茶,18,12,19
整椰椰,18,4,20
绿叔豆沙,18,4,11
放牛斑,18,7,16
香港永定堂凉茶,18,1,18
豆学长,18,2,8
山茶赋新中式鲜奶茶,18,3,21
金贩柠,18,6,14
婷子TINGZI,18,4,16
季刻,18,1,15
东方栀子,17,16,15
和气桃桃,17,16,17
巡椰,17,11,9
巴荔精酿酒馆,17,6,20
泰竺·老挝冰咖啡·泰式奶茶,17,11,14
珠满满·老红糖珍珠奶茶,17,1,10
西琳姑娘·新疆冰淇淋酸奶茶,17,8,19
北平制冰厂,17,1,24
宫鼎茶,17,1,19
雪沫乳花,17,9,19
野萃山分子果汁,16,2,33
慕尚哒柠,16,7,12
地铁站奶茶,16,6,14
茶颜以沫,16,4,16
柠檬诱惑鲜果茶饮,16,2,9
石猫与茶,16,3,13
意淇港式下午茶,16,3,22
茶千城,16,1,8
名发糖水铺,16,5,7
桃気森林,16,14,11
蜜城鲜饮,16,5,6
茶山派,16,2,15
茶理匠·鲜果茶,16,4,10
813芭依珊 BAESAn,16,1,33
野柠手作,16,2,14
桃梨里,16,2,22
醒饮果汁·卡士合作店,16,5,15
长乐冰点点·冰饭烧烤,16,4,26
鄰里正·手打柠檬茶,16,4,
茶太良品,15,8,17
酸奶星球,15,11,20
Fvacee 福万斯柠檬茶·咖啡,15,1,19
果果和酸奶,15,11,13
爆柠茶厂,15,4,14
蔻茶,15,15,14
茉茶风暴,15,2,11
茶鲜堂,15,3,15
周容记茶铺·广味柠檬茶,15,2,16
小春日和,15,14,
香港鸳鸯王,15,6,
专二港式饮品,14,1,
小领带茶饮,14,10,10
火尖枪哪吒仙饮,14,13,9
优莱客,14,14,8
之之茶·牛乳鲜茶,14,6,14
BIG BIG柠檬茶,14,3,13
汁点江山,14,4,15
柠宗师·功夫中国茶,14,5,13
乐思喵厚切炒酸奶,14,10,15
鹿小宁·原叶现萃茶饮,14,2,15
舞茗·手作酸奶·水果茶,14,7,11
超柠手工茶饮,14,5,19
茶丘奶茶汉堡,14,2,16
奶牛牛·鲜奶茶,14,3,7
幸未,14,3,10
小岸茶,14,3,16
一树一叶,14,2,17
LeYogurt乐悠格·手作酸奶,14,1,23
闲吉·好茶自然香,14,8,18
芋福甘园,14,6,18
茶爸,14,3,
四云奶盖贡茶,13,8,18
沏佰杯,13,1,15
森伯SIMPLE.TEA,13,3,12
仙菓乐,13,7,22
熊它椰味酸奶,13,12,15
茶珍香,13,7,9
曦强乳业鲜奶吧,13,1,5
三叶和茶,13,1,11
Bingo宾果每日,13,1,18
蓝村啤酒厂,13,4,49
纯小柒·新式乳饮,13,12,11
脸红熊猫·精酿啤酒,13,3,16
每日新鲜水果吧,13,3,23
喜樂手打柠檬茶,13,5,17
农场果汁,13,7,21
十度鲜家,13,4,16
椰百年·椰子鲜果茶,12,11,14
Master掌门熊猫,12,12,14
V18酸奶草莓,12,12,16
冇柠不欢,12,3,10
茶米茶,12,7,16
有米酸奶,12,11,16
香港保健堂凉茶,12,2,28
画廊的茶,12,3,16
旧城印象冰酒酿,12,4,9
新功茶文化,12,7,19
椰呀呀·活力椰子水,12,8,19
兰芳园丝袜奶茶,12,7,23
茶小知,12,3,13
快可立,12,9,31
指饮,12,1,9
林小柔绿豆沙牛乳,12,4,13
CHARLIETOWN红茶公司,12,8,30
一碗龟苓膏,12,1,
i转角,11,2,14
亲又亲茶,11,8,13
一些柠檬一些茶,11,5,14
寻仙记,11,3,12
卡乐卡,11,1,14
小憩遇茶,11,3,13
观塘悦色,11,11,9
野萃山·潮汕厚果汁,11,3,27
水元素,11,4,13
大叔的茶,11,4,20
甄茶,11,2,14
又一茶,11,4,19
超柠手打柠檬茶,11,6,19
婆婆的茶·鲜果奶茶,11,1,12
依群萌萌牛,11,4,15
HiTea海茶,11,1,10
麦恬有茶,11,6,12
板扎柠,11,1,10
OUKE欧可,11,2,10
芋柠鲜茶,11,3,11
Master Kup杯子大师,11,4,23
陆柠茶LUNINGCHA,11,4,14
BACKTEA呗堤原味,11,1,15
五囍茶肆,11,2,16
多克多蒸气茶DOKDO,11,3,20
C位牛男奶茶,11,6,
青箬小壶,11,5,
鹊茶.桂花鲜奶茶,11,10,
小柠撞茶,10,1,14
花座,10,8,9
膳梨堂,10,9,18
下午三点,10,5,19
日半茶青,10,4,14
不象茶,10,10,16
鹿角座·蒙古鲜奶茶,10,4,13
茉之茶味,10,3,8
王氏熟梨,10,1,9
娃哈哈奶茶,10,10,15
叶伴花,10,10,9
喜萃山.鲜萃果汁,10,5,16
僖华燕?姨妈热饮?鲜炖燕窝,10,6,23
澳牛鲜奶吧,10,3,14
亚强果汁冰,10,6,17
茶香香,10,4,17
开小茶,10,2,14
南茶仙笙,10,3,14
隆延茶铺,10,1,19
余时冰室,10,6,
杏绘茶室,10,2,
德人牧香鲜奶能量站,10,3,
对印茶局,10,3,
新叶NEAVES,9,3,16
阳光大维,9,3,12
Sotai素泰·泰式奶茶,9,2,18
J-tea魔杰的茶,9,9,15
仙小仙一斛茶,9,4,15
茶色烟雨,9,5,24
BLUE BUBBLE蓝色捕捉,9,7,21
别禹成茶,9,1,14
小溪地,9,2,16
ChaTraMue手标泰茶,9,4,21
龙口元,9,2,12
仙雨林茶饮,9,1,14
茶风,9,9,10
星想你,9,2,17
一方九韵·新本草养生茶,9,6,16
居水一茶,9,4,14
7号店精酿啤酒,9,6,22
老虎堂TIGER SUGAR,9,7,21
茶莫等,9,4,12
享站吧精酿啤酒直供站,9,5,27
熠麒麟大口茶,9,2,15
依希甜·糖葫芦·炒酸奶,9,2,16
正负二度C,9,1,13
鲜沁,9,1,13
千芋本铺,9,2,24
庐陵吉茶,9,1,12
妙茶鲜意,9,2,20
茶一站,9,5,28
成川茶店·潮汕工夫浓茶,9,2,19
茶姥姥手作,9,1,20
温大人牛奶鸡蛋醪糟,9,2,11
锦城吃茶,9,1,19
茶力的小怪兽,9,1,25
雷锋果汁,9,2,
水果先生,8,1,32
椰小小·元气椰子水,8,5,22
我是酸奶君,8,4,17
蓉小乔?鲜萃果咖,8,6,11
茶乐帝,8,1,11
茶未里,8,8,11
屿蓝湾·鲜果茶鲜奶茶,8,4,15
口渴了饮品,8,5,14
发发柠,8,2,11
港道香港茶点,8,2,15
烤奶大师,8,3,20
宫麒麟阁·宫廷说茶饮,8,6,15
凝大叔手打柠檬茶,8,4,15
简也茶集,8,1,16
MIS·柠檬茶研究所,8,3,13
蒋小兔鲜果茶,8,2,13
AILE&CHA爱乐茶,8,3,13
泰·青麦老挝纸袋奶咖,8,2,15
叁式一听,8,1,15
半夏时光生日蛋糕,8,8,14
老实柠檬茶NOWSIT,8,3,16
RM红猴,8,1,16
宇制茶宿,8,3,11
芒果大爆炸,8,3,13
煲佑奶茶,8,4,11
茶色满季,8,4,15
千可鲜果饮,8,2,19
白色日记·手作酸奶,8,4,21
大益茶庭,8,5,26
惠人芳Hurom Juice,8,3,27
喂庄鲜奶吧,8,1,10
与芳鲜奶,8,1,13
涵春茶肆,8,6,20
MAIMAI2.0泰式茶饮,8,3,17
钟梅柠·东方青梅茶,8,4,13
